# Catálogo de FIIs e FIAGROs (asset_class=fii|fiagro)
#
# Arquivo gerado/atualizado pelo crawler do FundsExplorer:
#   uv run python scripts/crawler/fundsexplorer/generate_fiis_csv.py
#
# O crawler é não-destrutivo: nunca sobrescreve uma célula já preenchida
# (ex.: reclassificação manual de FII → FIAGRO permanece intacta).
#
# Schema canônico: ver data/asset_catalog/README.md.
ticker,cnpj,razao_social,asset_class,sector_category,sector_subcategory,site_ri,fonte
CPSH11,47.896.665/0001-99,SHOPPINGS AAA FDO DE INV IMOB,fii,Tijolo,,,FundsExplorer 2026-05
CPTA11,60.607.442/0001-22,CAPITANIA AGRO STRATEGIES FIAGRO IMOBILIARIO CLOSED FUND,fiagro,Fiagro,Fiagro,,FundsExplorer 2026-05
CPTR11,42.537.579/0001-76,Capitania Agro Strategies,fiagro,Fiagro,,,FundsExplorer 2026-05
CPTS11,18.979.895/0001-13,Capitania Securities II,fii,Multiestratégia,Papéis,,FundsExplorer 2026-05
CPTS11B,,FII CAPI SEC,fii,Papel,Papéis,,FundsExplorer 2026-05
CPUR11,34.691.520/0001-00,VBI CONSUMO ESSEN,fii,Tijolo,Misto,,FundsExplorer 2026-05
CRAA11,48.903.610/0001-21,SPARTA FIAGRO FDO INV NAS CAD PROD AGRO,fiagro,Fiagro,,,FundsExplorer 2026-05
CRFF11,31.887.401/0001-39,CAIXA RIO BRAVO FDO DE FDOS INV IMOB II,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
CSMC11,41.081.336/0001-03,COSMIC FDO DE INV IMOB,fii,Fundo Misto,,,FundsExplorer 2026-05
CTNP11,33.827.762/0001-15,FII FED HY,fii,Papel,Papéis,,FundsExplorer 2026-05
CTXT11,00.762.723/0001-28,Centro Têxtil Internacional,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
CVBI11,28.729.197/0001-13,FDO INV. IMOB. VBI CRI,fii,Papel,Papéis,,FundsExplorer 2026-05
CVPR11,38.294.329/0001-85,FII CVPAR,fii,Papel,,,FundsExplorer 2026-05
CXAG11,40.189.596/0001-34,FII CAIXA AG,fii,Tijolo,Agências de Bancos,,FundsExplorer 2026-05
CXCE11,10.991.914/0001-15,Caixa Cedae,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
CXCE11B,10.991.914/0001-15,Caixa Cedae,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
CXCI11,42.066.916/0001-94,FDO DE INVST IMOB CAIXA CARTEIRA IMOBILIÁRIA,fii,Fundo de Fundos,,,FundsExplorer 2026-05
CXCO11,38.658.984/0001-75,FDO. INV. IMOB. CAIXA IMÓVEIS CORPORATIVOS,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
CXRI11,17.098.794/0001-70,Caixa Rio Bravo,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
CXTL11,12.887.506/0001-43,Caixa TRX Logística Renda,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
